Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
D2U25,2025-07-01,600,600,600,600,2.333,+0.39%,30,6437
D2Q25,2025-06-30,597.667,597.667,597.667,597.667,-0.333,-0.06%,125,5474
D2Q25,2025-06-27,598,598,598,598,3.667,+0.62%,55,6435
D2Q25,2025-06-26,594.333,594.333,594.333,594.333,0.333,+0.06%,40,6437
D2Q25,2025-06-25,594,594,594,594,-8.333,-1.38%,422,6437
D2Q25,2025-06-24,602.333,602.333,602.333,602.333,-2.667,-0.44%,180,6422
D2Q25,2025-06-23,605,605,605,605,5,+0.83%,90,6422
D2N25,2025-06-20,600,600,600,600,6.667,+1.12%,40,6402
D2N25,2025-06-18,593.333,593.333,593.333,593.333,-5.667,-0.95%,475,6402
D2N25,2025-06-17,599,599,599,599,9.667,+1.64%,160,6507
D2M25,2025-06-16,589.333,589.333,589.333,589.333,0.333,+0.06%,0,6501
D2M25,2025-06-13,589,589,589,589,-1.,-0.17%,331,6501
D2M25,2025-06-12,590,590,590,590,-9.,-1.50%,197,6461
D2M25,2025-06-11,599,599,599,599,-3.333,-0.55%,240,6393
D2M25,2025-06-10,602.333,602.333,602.333,602.333,0,0.00%,70,6329
D2M25,2025-06-09,602.333,602.333,602.333,602.333,0.333,+0.06%,10,6274
D2M25,2025-06-06,602,602,602,602,-5.833,-0.96%,100,6274
D2M25,2025-06-05,607.833,607.833,607.833,607.833,-4.5,-0.73%,0,6249
D2M25,2025-06-04,612.333,612.333,612.333,612.333,11.667,+1.94%,60,6249
D2M25,2025-06-03,600.666,600.666,600.666,600.666,0.833,+0.14%,5,6269
D2M25,2025-06-02,599.833,599.833,599.833,599.833,0.333,+0.06%,0,6269
D2M25,2025-05-30,599.5,599.5,599.5,599.5,-1.166,-0.19%,15,6269
D2M25,2025-05-29,600.666,600.666,600.666,600.666,-2.,-0.33%,15,7477
D2M25,2025-05-28,602.666,602.666,602.666,602.666,0.333,+0.06%,10,7492
D2M25,2025-05-27,602.333,602.333,602.333,602.333,-0.333,-0.06%,10,7492
D2M25,2025-05-23,602.666,602.666,602.666,602.666,-8.667,-1.42%,995,7492
D2M25,2025-05-22,611.333,611.333,611.333,611.333,-2.,-0.33%,1200,7537
D2M25,2025-05-21,613.333,613.333,613.333,613.333,0,0.00%,160,7267
D2M25,2025-05-20,613.333,613.333,613.333,613.333,6,+0.99%,220,7267
D2M25,2025-05-19,607.333,607.333,607.333,607.333,-1.667,-0.27%,175,7227
D2K25,2025-05-16,609,609,609,609,-1.,-0.16%,0,7157
D2K25,2025-05-15,610,610,610,610,2.334,+0.38%,0,7177
D2K25,2025-05-14,607.666,607.666,607.666,607.666,0.667,+0.11%,160,7177
D2K25,2025-05-13,606.999,606.999,606.999,606.999,11.333,+1.90%,230,7167
