date,ppi
2010-01-03,231.8
2010-01-10,230.58
2010-01-17,229.36
2010-01-24,228.14
2010-01-31,226.92
2010-02-07,225.7
2010-02-14,223.89999999999998
2010-02-21,222.1
2010-02-28,220.3
2010-03-07,218.5
2010-03-14,215.6
2010-03-21,212.7
2010-03-28,209.8
2010-04-04,206.9
2010-04-11,205.775
2010-04-18,204.65
2010-04-25,203.525
2010-05-02,202.4
2010-05-09,202.70000000000002
2010-05-16,203.0
2010-05-23,203.3
2010-05-30,203.6
2010-06-06,203.9
2010-06-13,205.025
2010-06-20,206.15
2010-06-27,207.275
2010-07-04,208.4
2010-07-11,210.925
2010-07-18,213.45
2010-07-25,215.975
2010-08-01,218.5
2010-08-08,222.46
2010-08-15,226.42000000000002
2010-08-22,230.38
2010-08-29,234.34
2010-09-05,238.3
2010-09-12,241.07500000000002
2010-09-19,243.85000000000002
2010-09-26,246.625
2010-10-03,249.4
2010-10-10,254.88
2010-10-17,260.36
2010-10-24,265.84000000000003
2010-10-31,271.32
2010-11-07,276.8
2010-11-14,271.1
2010-11-21,265.4
2010-11-28,259.7
2010-12-05,254.0
2010-12-12,258.675
2010-12-19,263.35
2010-12-26,268.025
2011-01-02,272.7
2011-01-09,274.96
2011-01-16,277.21999999999997
2011-01-23,279.48
2011-01-30,281.74
2011-02-06,284.0
2011-02-13,285.075
2011-02-20,286.15
2011-02-27,287.225
2011-03-06,288.3
2011-03-13,293.77500000000003
2011-03-20,299.25
2011-03-27,304.725
2011-04-03,310.2
2011-04-10,311.775
2011-04-17,313.35
2011-04-24,314.925
2011-05-01,316.5
2011-05-08,317.08
2011-05-15,317.65999999999997
2011-05-22,318.24
2011-05-29,318.82
2011-06-05,319.4
2011-06-12,319.54999999999995
2011-06-19,319.7
2011-06-26,319.85
2011-07-03,320.0
2011-07-10,325.0
2011-07-17,330.0
2011-07-24,335.0
2011-07-31,340.0
2011-08-07,345.0
2011-08-14,343.725
2011-08-21,342.45
2011-08-28,341.17499999999995
2011-09-04,339.9
2011-09-11,329.92499999999995
2011-09-18,319.95
2011-09-25,309.975
2011-10-02,300.0
2011-10-09,302.88
2011-10-16,305.76
2011-10-23,308.64
2011-10-30,311.52
2011-11-06,314.4
2011-11-13,312.92499999999995
2011-11-20,311.45
2011-11-27,309.975
2011-12-04,308.5
2011-12-11,302.225
2011-12-18,295.95
2011-12-25,289.67499999999995
2012-01-01,283.4
2012-01-08,281.08
2012-01-15,278.76
2012-01-22,276.44
2012-01-29,274.12
2012-02-05,271.8
2012-02-12,272.025
2012-02-19,272.25
2012-02-26,272.475
2012-03-04,272.7
2012-03-11,273.175
2012-03-18,273.65
2012-03-25,274.125
2012-04-01,274.6
2012-04-08,273.74
2012-04-15,272.88
2012-04-22,272.02000000000004
2012-04-29,271.16
2012-05-06,270.3
2012-05-13,267.6
2012-05-20,264.90000000000003
2012-05-27,262.2
2012-06-03,259.5
2012-06-10,264.7
2012-06-17,269.9
2012-06-24,275.1
2012-07-01,280.3
2012-07-08,285.46000000000004
2012-07-15,290.62
2012-07-22,295.78000000000003
2012-07-29,300.94
2012-08-05,306.1
2012-08-12,306.05
2012-08-19,306.0
2012-08-26,305.95
2012-09-02,305.9
2012-09-09,303.7
2012-09-16,301.5
2012-09-23,299.29999999999995
2012-09-30,297.09999999999997
2012-10-07,294.9
2012-10-14,291.5
2012-10-21,288.09999999999997
2012-10-28,284.7
2012-11-04,281.3
2012-11-11,282.075
2012-11-18,282.85
2012-11-25,283.625
2012-12-02,284.4
2012-12-09,283.18
2012-12-16,281.96
2012-12-23,280.74
2012-12-30,279.52
2013-01-06,278.3
2013-01-13,282.075
2013-01-20,285.85
2013-01-27,289.625
2013-02-03,293.4
2013-02-10,294.45
2013-02-17,295.5
2013-02-24,296.55
2013-03-03,297.6
2013-03-10,299.44
2013-03-17,301.28000000000003
2013-03-24,303.12
2013-03-31,304.96000000000004
2013-04-07,306.8
2013-04-14,308.95
2013-04-21,311.1
2013-04-28,313.25
2013-05-05,315.4
2013-05-12,318.375
2013-05-19,321.35
2013-05-26,324.325
2013-06-02,327.3
2013-06-09,322.90000000000003
2013-06-16,318.5
2013-06-23,314.1
2013-06-30,309.7
2013-07-07,305.3
2013-07-14,302.15
2013-07-21,299.0
2013-07-28,295.85
2013-08-04,292.7
2013-08-11,293.85
2013-08-18,295.0
2013-08-25,296.15
2013-09-01,297.3
2013-09-08,290.96000000000004
2013-09-15,284.62
2013-09-22,278.28000000000003
2013-09-29,271.94
2013-10-06,265.6
2013-10-13,260.95000000000005
2013-10-20,256.3
2013-10-27,251.65
2013-11-03,247.0
2013-11-10,253.075
2013-11-17,259.15
2013-11-24,265.225
2013-12-01,271.3
