Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCZ25,2025-07-02,422.25,422.5,417.5,418.25,-3.75,-0.89%,24291,0
ZCZ25,2025-07-01,424,425,416.5,422,-3.5,-0.82%,412755,1498690
ZCZ25,2025-06-30,426.5,429.5,422.25,425.5,14,+3.40%,462551,1474077
ZCU25,2025-06-27,404.25,412.25,404.25,411.5,7.5,+1.86%,496734,1481394
ZCU25,2025-06-26,405,408.75,402.25,404,-1.,-0.25%,572695,1496436
ZCU25,2025-06-25,412,413.75,404,405,-7.25,-1.76%,580200,1517269
ZCU25,2025-06-24,417.75,418.5,411.75,412.25,-5.25,-1.26%,590091,1534968
ZCU25,2025-06-23,427.75,428.5,416.75,417.5,-8.,-1.88%,562163,1539357
ZCU25,2025-06-20,428.75,431.75,425.25,425.5,-3.5,-0.82%,475830,1552940
ZCU25,2025-06-18,424,430.75,423.5,429,5.25,+1.24%,570484,1582739
ZCU25,2025-06-17,420,425.75,420,423.75,4,+0.95%,561609,1592477
ZCU25,2025-06-16,428.5,430.5,418.25,419.75,-8.75,-2.04%,465284,1595749
ZCU25,2025-06-13,425.75,429.75,423.5,428.5,-10.,-2.28%,429954,1597835
ZCN25,2025-06-12,436.5,441.75,435.25,438.5,1.5,+0.34%,432051,1613553
ZCN25,2025-06-11,439,444.75,436,437,-1.75,-0.40%,440158,1614375
ZCN25,2025-06-10,433.5,439.5,429.25,438.75,5.25,+1.21%,578011,1614274
ZCN25,2025-06-09,442.25,445.75,432.75,433.5,-9.,-2.03%,558662,1635875
ZCN25,2025-06-06,438.25,445,435,442.5,3,+0.68%,548738,1639965
ZCN25,2025-06-05,438.5,442.75,433.25,439.5,0.75,+0.17%,547718,1653257
ZCN25,2025-06-04,438.5,446,437.5,438.75,0.25,+0.06%,507235,1667656
ZCN25,2025-06-03,438.25,442.5,434.25,438.5,0.25,+0.06%,443236,1669150
ZCN25,2025-06-02,444,451,437.75,438.25,-5.75,-1.30%,454719,1652547
ZCN25,2025-05-30,447,449.5,443,444,-3.,-0.67%,343319,1660968
ZCN25,2025-05-29,452.25,453,443.5,447,-4.,-0.89%,301733,1655527
ZCN25,2025-05-28,459.5,463,450,451,-8.5,-1.85%,418755,1663150
ZCN25,2025-05-27,459,463,456,459.5,0,0.00%,310745,1654814
ZCN25,2025-05-23,462.75,464.5,455,459.5,-3.5,-0.76%,351751,1652556
ZCN25,2025-05-22,459.25,464.75,456.5,463,2,+0.43%,402199,1643699
ZCN25,2025-05-21,454.5,462,453.5,461,6.5,+1.43%,417924,1642500
ZCN25,2025-05-20,446.75,455.5,444.75,454.5,7,+1.56%,438435,1637956
ZCN25,2025-05-19,443.5,449.75,443,447.5,4,+0.90%,392734,1631625
ZCN25,2025-05-16,449,451.5,442.75,443.5,-5.,-1.11%,374012,1625747
ZCN25,2025-05-15,444.75,450.5,443.5,448.5,3,+0.67%,395595,1604298
ZCN25,2025-05-14,443,447.75,438.5,445.5,3,+0.68%,343789,1597819
ZCN25,2025-05-13,448,448,436.5,442.5,-5.5,-1.23%,511493,1589429
ZCN25,2025-05-12,453,458.75,445.75,448,-1.75,-0.39%,526145,1578407
ZCN25,2025-05-09,449,455,447,449.75,2.25,+0.50%,385125,1591470
ZCN25,2025-05-08,450,452,442.25,447.5,-1.75,-0.39%,564846,1585217
ZCN25,2025-05-07,457,463.5,448.5,449.25,-6.25,-1.37%,474092,1557267
ZCN25,2025-05-06,454.75,457.25,452.5,455.5,1.25,+0.28%,407756,1548526
ZCN25,2025-05-05,469,470.75,453.25,454.25,-14.75,-3.14%,534210,1547796
ZCN25,2025-05-02,472.25,477,468.25,469,-3.25,-0.69%,338581,1535395
ZCN25,2025-05-01,475,480,470,472.25,-3.25,-0.68%,345213,1538722
ZCN25,2025-04-30,470.75,478.5,468.5,475.5,5.25,+1.12%,393684,1532217
ZCN25,2025-04-29,482.75,485.25,469.75,470.25,-13.,-2.69%,628859,1543934
ZCN25,2025-04-28,483.75,485.75,476.25,483.25,-2.25,-0.46%,647701,1587474
ZCN25,2025-04-25,483.25,487.5,483.25,485.5,1.5,+0.31%,426185,1621590
ZCN25,2025-04-24,479.5,485.25,479,484,4.75,+0.99%,476125,1669197
ZCN25,2025-04-23,483.75,484.75,477.25,479.25,-4.,-0.83%,452432,1696588
ZCN25,2025-04-22,490,491.75,482.5,483.25,-6.75,-1.38%,458739,1707988
ZCN25,2025-04-21,491.25,495,489.5,490,-0.25,-0.05%,348167,1709339
ZCN25,2025-04-17,490.75,494,489,490.25,-1.5,-0.31%,336554,1715159
ZCN25,2025-04-16,489,495,487,491.75,2.25,+0.46%,429911,1706401
ZCN25,2025-04-15,492.5,496,487,489.5,-3.25,-0.66%,527224,1723995
ZCN25,2025-04-14,495.75,497.5,492,492.75,-4.25,-0.86%,518020,1726131
ZCN25,2025-04-11,487.25,497.25,487.25,497,8.25,+1.69%,746378,1716466
ZCN25,2025-04-10,480,490,479.75,488.75,8.25,+1.72%,869319,1712689
ZCN25,2025-04-09,474,481.25,472.25,480.5,5.75,+1.21%,636063,1792930
ZCN25,2025-04-08,470.75,476.25,469.25,474.75,10.25,+2.21%,594293,1810136
ZCK25,2025-04-07,456,467.5,454.25,464.5,4.25,+0.92%,488407,1831846
ZCK25,2025-04-04,457.75,462.5,449.25,460.25,2.75,+0.60%,497259,1878743
ZCK25,2025-04-03,450,462.25,447.5,457.5,-0.25,-0.05%,513174,1888920
ZCK25,2025-04-02,460.25,460.75,454,457.75,-4.,-0.87%,356678,1890262
ZCK25,2025-04-01,457.75,465,454,461.75,4.5,+0.98%,453634,1879992
ZCK25,2025-03-31,453,459.25,444,457.25,4,+0.88%,724556,1881568
ZCK25,2025-03-28,450.25,454,442,453.25,3.25,+0.72%,509318,1844144
ZCK25,2025-03-27,451.75,452.75,447.25,450,-1.25,-0.28%,432991,1851448
ZCK25,2025-03-26,458.75,461,450.75,451.25,-6.5,-1.42%,337466,1847027
ZCK25,2025-03-25,464.5,464.75,457,457.75,-6.75,-1.45%,332498,1841552
ZCK25,2025-03-24,465,466.25,459.5,464.5,0.25,+0.05%,258235,1823702
ZCK25,2025-03-21,467.25,469.75,461.25,464.25,-4.75,-1.01%,374620,1823591
ZCK25,2025-03-20,462,470.25,462,469,7,+1.52%,466449,1806884
ZCK25,2025-03-19,458.25,463,455.75,462,3.25,+0.71%,370649,1808634
ZCK25,2025-03-18,461,462.5,455.25,458.75,-2.25,-0.49%,386737,1819184
ZCK25,2025-03-17,460,465.5,457.25,461,2.5,+0.55%,375615,1826607
ZCK25,2025-03-14,463.25,463.5,456.5,458.5,-6.75,-1.45%,540586,1844207
ZCK25,2025-03-13,461.5,470,459.5,465.25,4.5,+0.98%,415868,1851437
ZCK25,2025-03-12,469.25,472,456.25,460.75,-9.5,-2.02%,523660,1845738
ZCK25,2025-03-11,472,477.5,469,470.25,-1.75,-0.37%,407110,1829935
ZCK25,2025-03-10,469.5,474.75,466.5,472,2.75,+0.59%,320950,1828756
ZCK25,2025-03-07,464.75,471,460.75,469.25,5.25,+1.13%,424806,1836879
ZCK25,2025-03-06,457,473.5,452.75,464,8.25,+1.81%,649283,1835460
